Index	GT Class	Pred Class	Path	Path Probs	Num Nodes Explored	Node Backtracks
0	3	3	['n00003553', 'n01471682', 'n01886756', 'n02075296']	[1.0, 1.0, 1.0, 1.0]	4	{}
1	8	8	['n00003553', 'n03575240', 'n03125870']	[1.0, 1.0, 1.0]	3	{}
2	8	8	['n00003553', 'n03575240', 'n03125870']	[1.0, 0.997, 0.9999]	3	{}
3	0	0	['n00003553', 'n03575240', 'n03125870']	[0.9999, 0.9991, 0.991]	3	{}
4	6	6	['n00003553', 'n01471682']	[1.0, 1.0]	2	{}
5	6	6	['n00003553', 'n01471682']	[1.0, 1.0]	2	{}
6	1	1	['n00003553', 'n03575240', 'n03791235']	[0.9999, 1.0, 0.9693]	3	{}
7	6	6	['n00003553', 'n01471682']	[1.0, 1.0]	2	{}
8	3	3	['n00003553', 'n01471682', 'n01886756', 'n02075296']	[1.0, 1.0, 1.0, 1.0]	4	{}
9	1	1	['n00003553', 'n03575240', 'n03791235']	[1.0, 1.0, 0.9998]	3	{}
10	0	0	['n00003553', 'n03575240', 'n03125870']	[0.9999, 1.0, 1.0]	3	{}
11	9	9	['n00003553', 'n03575240', 'n03791235']	[1.0, 1.0, 1.0]	3	{}
12	5	5	['n00003553', 'n01471682', 'n01886756', 'n02075296']	[1.0, 1.0, 1.0, 1.0]	4	{}
13	7	7	['n00003553', 'n01471682', 'n01886756', 'n02370806']	[1.0, 1.0, 1.0, 1.0]	4	{}
14	9	9	['n00003553', 'n03575240', 'n03791235']	[1.0, 1.0, 1.0]	3	{}
15	8	8	['n00003553', 'n03575240', 'n03125870']	[0.9943, 0.9985, 0.9994]	3	{}
16	5	5	['n00003553', 'n01471682', 'n01886756', 'n02075296']	[1.0, 1.0, 1.0, 1.0]	4	{}
17	7	7	['n00003553', 'n01471682', 'n01886756', 'n02370806']	[1.0, 0.9993, 0.9998, 1.0]	4	{}
18	8	8	['n00003553', 'n03575240', 'n03125870']	[1.0, 1.0, 1.0]	3	{}
19	6	6	['n00003553', 'n01471682']	[1.0, 1.0]	2	{}
20	7	5	['n00003553', 'n01471682', 'n01886756', 'n02075296']	[0.9904, 0.9867, 0.7833, 0.6255]	4	{}
21	0	0	['n00003553', 'n03575240', 'n03125870']	[0.9999, 0.9999, 1.0]	3	{}
22	4	4	['n00003553', 'n01471682', 'n01886756', 'n02370806']	[0.998, 0.9786, 0.9895, 0.9988]	4	{}
23	9	9	['n00003553', 'n03575240', 'n03791235']	[1.0, 1.0, 1.0]	3	{}
24	5	5	['n00003553', 'n01471682', 'n01886756', 'n02075296']	[1.0, 1.0, 0.9998, 0.9915]	4	{}
25	2	2	['n00003553', 'n01471682']	[1.0, 1.0]	2	{}
26	4	4	['n00003553', 'n01471682', 'n01886756', 'n02370806']	[1.0, 1.0, 0.9999, 1.0]	4	{}
27	0	0	['n00003553', 'n03575240', 'n03125870']	[1.0, 1.0, 1.0]	3	{}
28	9	9	['n00003553', 'n03575240', 'n03791235']	[1.0, 1.0, 1.0]	3	{}
29	6	6	['n00003553', 'n01471682']	[1.0, 1.0]	2	{}
30	6	6	['n00003553', 'n01471682']	[1.0, 1.0]	2	{}
31	5	5	['n00003553', 'n01471682', 'n01886756', 'n02075296']	[1.0, 1.0, 1.0, 1.0]	4	{}
32	4	4	['n00003553', 'n01471682', 'n01886756', 'n02370806']	[0.9995, 1.0, 0.9994, 0.9998]	4	{}
33	5	5	['n00003553', 'n01471682', 'n01886756', 'n02075296']	[1.0, 0.9978, 0.9984, 0.9998]	4	{}
34	9	9	['n00003553', 'n03575240', 'n03791235']	[1.0, 1.0, 1.0]	3	{}
35	2	2	['n00003553', 'n01471682']	[0.9995, 0.9972]	2	{}
36	4	4	['n00003553', 'n01471682', 'n01886756', 'n02370806']	[1.0, 1.0, 1.0, 0.978]	4	{}
37	1	1	['n00003553', 'n03575240', 'n03791235']	[1.0, 1.0, 0.6986]	3	{}
38	9	9	['n00003553', 'n03575240', 'n03791235']	[1.0, 1.0, 1.0]	3	{}
39	5	5	['n00003553', 'n01471682', 'n01886756', 'n02075296']	[1.0, 1.0, 1.0, 1.0]	4	{}
40	4	4	['n00003553', 'n01471682', 'n01886756', 'n02370806']	[1.0, 1.0, 1.0, 1.0]	4	{}
41	6	6	['n00003553', 'n01471682']	[1.0, 1.0]	2	{}
42	5	5	['n00003553', 'n01471682', 'n01886756', 'n02075296']	[1.0, 1.0, 1.0, 1.0]	4	{}
43	6	6	['n00003553', 'n01471682']	[1.0, 1.0]	2	{}
44	0	0	['n00003553', 'n03575240', 'n03125870']	[1.0, 1.0, 1.0]	3	{}
45	9	9	['n00003553', 'n03575240', 'n03791235']	[1.0, 1.0, 1.0]	3	{}
46	3	3	['n00003553', 'n01471682', 'n01886756', 'n02075296']	[1.0, 0.9997, 1.0, 1.0]	4	{}
47	9	8	['n00003553', 'n03575240', 'n03125870']	[1.0, 0.8278, 0.663]	3	{}
48	7	7	['n00003553', 'n01471682', 'n01886756', 'n02370806']	[1.0, 1.0, 1.0, 1.0]	4	{}
49	6	6	['n00003553', 'n01471682']	[0.9995, 0.9186]	2	{}
50	9	9	['n00003553', 'n03575240', 'n03791235']	[1.0, 1.0, 1.0]	3	{}
51	8	8	['n00003553', 'n03575240', 'n03125870']	[1.0, 1.0, 1.0]	3	{}
52	0	2	['n00003553', 'n01471682']	[0.9715, 0.5366]	2	{}
53	3	3	['n00003553', 'n01471682', 'n01886756', 'n02075296']	[1.0, 1.0, 1.0, 1.0]	4	{}
54	8	8	['n00003553', 'n03575240', 'n03125870']	[1.0, 1.0, 1.0]	3	{}
55	8	8	['n00003553', 'n03575240', 'n03125870']	[1.0, 1.0, 1.0]	3	{}
