Index	GT Class	Pred Class	Path	Path Probs	Num Nodes Explored	Node Backtracks
0	49	71	['n00001740', 'n00001930']	[1.0, 0.0012]	5	{'n00003553': 1, 'n00002684': 1, 'n00007846': 1}
1	33	33	['n00001740', 'n00002137']	[0.9887, 0.9995]	2	{}
2	72	93	['n00001740', 'n00001930', 'n00002684', 'n00003553', 'n00004475', 'n00015388', 'n01471682', 'n01661091']	[1.0, 0.9787, 0.9988, 0.9884, 0.9572, 0.4903, 0.9123, 0.0248]	9	{'n01661818': 1}
3	51	91	['n00001740', 'n00001930', 'n00020827']	[0.9994, 0.8387, 0.7647]	3	{}
4	71	71	['n00001740', 'n00001930']	[1.0, 0.9999]	2	{}
5	92	6	['n00001740', 'n00001930', 'n00002684', 'n00003553', 'n00004475', 'n00015388', 'n01905661', 'n01767661', 'n02159955']	[1.0, 1.0, 1.0, 1.0, 0.7812, 0.9996, 0.9997, 0.9879, 0.9995]	9	{}
6	15	15	['n00001740', 'n00001930', 'n00002684', 'n00003553', 'n00004475', 'n00015388', 'n01471682', 'n01861778', 'n01886756', 'n02394477']	[1.0, 0.9896, 0.9925, 0.8971, 0.9857, 0.9956, 0.6824, 0.9735, 0.9804, 0.9983]	10	{}
7	14	65	['n00001740', 'n00001930', 'n00002684', 'n00003553', 'n00004475', 'n00015388', 'n01471682', 'n01861778', 'n01886756']	[0.9997, 0.9522, 0.9917, 0.9944, 0.9958, 0.4814, 0.8357, 0.4573, 0.231]	13	{'n02159955': 1, 'n01767661': 1, 'n01905661': 1, 'n02329401': 1}
8	23	71	['n00001740', 'n00001930']	[1.0, 0.9969]	2	{}
9	0	57	['n00001740', 'n00001930', 'n00002684', 'n00003553', 'n07705931']	[1.0, 1.0, 1.0, 1.0, 0.9516]	5	{}
10	71	12	['n00001740', 'n00001930', 'n00002684', 'n00003553', 'n00021939', 'n04341686']	[0.9994, 0.6641, 0.9752, 0.7829, 0.9424, 0.9874]	6	{}
11	75	75	['n00001740', 'n00002137']	[0.7472, 0.9685]	2	{}
12	81	81	['n00001740', 'n00001930', 'n00002684', 'n00003553', 'n00021939', 'n03575240', 'n03094503', 'n04576211', 'n04170037']	[1.0, 1.0, 1.0, 1.0, 1.0, 0.9855, 0.9976, 0.9988, 1.0]	9	{}
13	69	69	['n00001740', 'n00001930', 'n00002684', 'n00003553', 'n00021939', 'n03575240', 'n03100490']	[1.0, 0.9953, 0.9998, 0.9999, 0.9996, 1.0, 1.0]	7	{}
14	40	40	['n00001740', 'n00001930', 'n00002684', 'n00003553', 'n00021939', 'n03575240', 'n03183080']	[1.0, 0.9999, 0.9995, 0.9988, 0.9995, 0.9999, 1.0]	7	{}
15	43	43	['n00001740', 'n00001930', 'n00002684', 'n00003553', 'n00004475', 'n00015388', 'n01471682', 'n01861778', 'n01886756', 'n02075296', 'n02127808']	[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]	11	{}
16	92	92	['n00001740', 'n00001930', 'n00002684', 'n00003553', 'n00004475', 'n13083586']	[1.0, 1.0, 0.9994, 0.9999, 1.0, 1.0]	6	{}
17	97	97	['n00001740', 'n00001930', 'n00002684', 'n00003553', 'n00004475', 'n00015388', 'n01471682', 'n01861778', 'n01886756', 'n02075296', 'n02083346']	[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9999, 0.9905, 1.0, 1.0]	11	{}
18	70	70	['n00001740', 'n00001930', 'n00002684', 'n00003553', 'n00004475', 'n13083586', 'n13103136', 'n13112664']	[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]	8	{}
19	53	53	['n00001740', 'n00001930', 'n00002684', 'n00003553', 'n07705931']	[1.0, 1.0, 1.0, 0.9936, 0.9999]	5	{}
20	70	70	['n00001740', 'n00001930', 'n00002684', 'n00003553', 'n00004475', 'n13083586', 'n13103136', 'n13112664']	[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]	8	{}
21	49	49	['n00001740', 'n00001930', 'n00002684']	[0.9999, 0.9979, 0.9991]	3	{}
22	75	75	['n00001740', 'n00002137']	[0.9605, 0.9495]	2	{}
23	29	41	['n00001740', 'n00001930', 'n00002684', 'n00003553', 'n00021939', 'n03575240']	[1.0, 0.9996, 0.9988, 0.9874, 0.8918, 0.4787]	6	{}
24	21	21	['n00001740', 'n00001930', 'n00002684', 'n00003553', 'n00004475', 'n00015388', 'n01471682', 'n01861778', 'n01886756']	[1.0, 0.9843, 0.994, 0.995, 0.9981, 0.9992, 0.9994, 0.9992, 1.0]	9	{}
25	16	16	['n00001740', 'n00001930', 'n00002684', 'n00003553', 'n00021939', 'n03575240', 'n03094503']	[1.0, 1.0, 0.9998, 1.0, 1.0, 1.0, 1.0]	7	{}
26	39	39	['n00001740', 'n00001930', 'n00002684', 'n00003553', 'n00021939', 'n03575240', 'n03183080']	[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]	7	{}
27	8	8	['n00001740', 'n00001930', 'n00002684', 'n00003553', 'n00021939', 'n03575240', 'n03094503', 'n04576211']	[1.0, 0.9999, 0.9999, 0.9999, 0.9999, 1.0, 1.0, 1.0]	8	{}
28	8	8	['n00001740', 'n00001930', 'n00002684', 'n00003553', 'n00021939', 'n03575240', 'n03094503', 'n04576211']	[1.0, 0.9999, 0.9999, 1.0, 1.0, 0.9944, 0.9892, 0.9962]	8	{}
29	70	71	['n00001740', 'n00001930']	[1.0, 0.0009]	6	{'n00007846': 1, 'n00003553': 1, 'n00002684': 1, 'n00020827': 1}
