image index	predicted index	target index	correct	path	path probability	path length	number backtracks
0	3	3	TRUE	['n00003553', 'n01471682', 'n01886756', 'n02075296', 'n02121620']	[0.9999963045120239, 0.9999967813491821, 0.9999994039535522, 1.0]	5	0
1	8	8	TRUE	['n00003553', 'n03575240', 'n03125870', 'n04194289']	[1.0, 1.0, 1.0]	4	0
2	8	8	TRUE	['n00003553', 'n03575240', 'n03125870', 'n04194289']	[0.9999998807907104, 0.9969587326049805, 0.9998948574066162]	4	0
3	0	0	TRUE	['n00003553', 'n03575240', 'n03125870', 'n02691156']	[0.999916672706604, 0.9991210103034973, 0.9910033941268921]	4	0
4	6	6	TRUE	['n00003553', 'n01471682', 'n01639765']	[0.9999998807907104, 0.9999991655349731]	3	0
5	6	6	TRUE	['n00003553', 'n01471682', 'n01639765']	[1.0, 0.9999991655349731]	3	0
6	1	1	TRUE	['n00003553', 'n03575240', 'n03791235', 'n02958343']	[0.999889612197876, 0.9999809265136719, 0.9693443179130554]	4	0
7	6	6	TRUE	['n00003553', 'n01471682', 'n01639765']	[0.9999970197677612, 0.9999754428863525]	3	0
8	3	3	TRUE	['n00003553', 'n01471682', 'n01886756', 'n02075296', 'n02121620']	[1.0, 1.0, 1.0, 1.0]	5	0
9	1	1	TRUE	['n00003553', 'n03575240', 'n03791235', 'n02958343']	[1.0, 1.0, 0.9998100399971008]	4	0
10	0	0	TRUE	['n00003553', 'n03575240', 'n03125870', 'n02691156']	[0.9998778104782104, 0.999961256980896, 0.9999904632568359]	4	0
11	9	9	TRUE	['n00003553', 'n03575240', 'n03791235', 'n04490091']	[1.0, 1.0, 1.0]	4	0
12	5	5	TRUE	['n00003553', 'n01471682', 'n01886756', 'n02075296', 'n02084071']	[0.9999998807907104, 0.99998939037323, 0.9999898672103882, 0.9999649524688721]	5	0
13	7	7	TRUE	['n00003553', 'n01471682', 'n01886756', 'n02370806', 'n02374451']	[1.0, 1.0, 1.0, 1.0]	5	0
14	9	9	TRUE	['n00003553', 'n03575240', 'n03791235', 'n04490091']	[1.0, 1.0, 0.9999994039535522]	4	0
15	8	8	TRUE	['n00003553', 'n03575240', 'n03125870', 'n04194289']	[0.9943318367004395, 0.9984766840934753, 0.9994350075721741]	4	0
16	5	5	TRUE	['n00003553', 'n01471682', 'n01886756', 'n02075296', 'n02084071']	[1.0, 1.0, 0.9999997615814209, 0.9999971389770508]	5	0
17	7	7	TRUE	['n00003553', 'n01471682', 'n01886756', 'n02370806', 'n02374451']	[0.9999834299087524, 0.9993163347244263, 0.9998083710670471, 0.9999767541885376]	5	0
18	8	8	TRUE	['n00003553', 'n03575240', 'n03125870', 'n04194289']	[1.0, 1.0, 1.0]	4	0
19	6	6	TRUE	['n00003553', 'n01471682', 'n01639765']	[1.0, 1.0]	3	0
